Day,Source,Destination,Total Cargo,Aircraft w/ Cargo,Leftover Cargo,Aircraft Repositioning,Demand,Route,,Repositioning Cost
1,A,B,100,100,0,0,100,AB,AB,0.0
1,A,C,50,50,0,0,50,AC,AC,0.0
5,A,C,50,50,0,0,50,AC,AC,0.0
5,A,B,300,300,0,0,300,AB,AB,0.0
2,A,B,200,200,0,0,200,AB,AB,0.0
2,A,C,50,50,0,0,50,AC,AC,0.0
4,A,C,50,50,0,0,50,AC,AC,0.0
4,A,B,400,400,0,0,400,AB,AB,0.0
3,A,B,100,100,0,0,100,AB,AB,0.0
3,A,C,50,50,0,0,50,AC,AC,0.0
5,B,C,25,25,0,575,25,BC,BC,1725.0
5,B,A,25,25,0,85,25,BA,BA,595.0
4,B,C,25,25,0,365,25,BC,BC,1095.0
4,B,A,25,25,0,0,25,BA,BA,0.0
3,B,C,25,25,0,560,25,BC,BC,1680.0
3,B,A,25,25,0,190,25,BA,BA,1330.0
2,B,C,25,25,0,475,25,BC,BC,1425.0
2,B,A,25,25,0,0,25,BA,BA,0.0
1,B,C,25,25,0,650,25,BC,BC,1950.0
1,B,A,25,25,0,0,25,BA,BA,0.0
3,C,A,40,40,0,195,40,CA,CA,1170.0
3,C,B,300,300,0,15,300,CB,CB,45.0
2,C,B,200,200,0,400,200,CB,CB,1200.0
2,C,A,40,40,0,85,40,CA,CA,510.0
4,C,A,40,40,0,285,40,CA,CA,1710.0
4,C,B,200,200,0,110,200,CB,CB,330.0
1,C,B,400,400,0,25,400,CB,CB,75.0
1,C,A,40,40,0,185,40,CA,CA,1110.0
5,C,A,40,40,0,0,40,CA,CA,0.0
5,C,B,400,400,0,0,400,CB,CB,0.0
